1. Category='Diploma Lanjutan', Name='Diploma Lanjutan Kebidanan', Total=6598, Max=1203, Min=962
2. Category='Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Rapi', Total=771, Max=147, Min=113
3. Category='Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Perioperatif', Total=802, Max=160, Min=104
4. Category='Diploma Lanjutan', Name='Diploma Lanjutan Kesihatan Kardiovascular', Total=719, Max=136, Min=107
5. Category='Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Onkologi', Total=260, Max=55, Min=0
6. Category='Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Gerontologi', Total=158, Max=57, Min=11
7. Category='Diploma Lanjutan', Name='Diploma Lanjutan Sitologi', Total=58, Max=24, Min=0
8. Category='Diploma Lanjutan', Name='Diploma Lanjutan Transfusi Darah', Total=38, Max=38, Min=0
9. Category='Diploma Lanjutan', Name='Diploma Lanjutan Histopatologi', Total=14, Max=14, Min=0
10. Category='Diploma Lanjutan', Name='Diploma Lanjutan Pengimejan Perubatan (Payudara)', Total=50, Max=16, Min=0
11. Category='Diploma Lanjutan', Name='Diploma Lanjutan Haematologi', Total=70, Max=27, Min=0
12. Category='Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Paliatif', Total=108, Max=20, Min=17
13. Category='Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Kesihatan Mental', Total=482, Max=98, Min=61
14. Category='Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Kecemasan', Total=2422, Max=535, Min=235
15. Category='Diploma Lanjutan', Name='Diploma Lanjutan Pengurusan Penjagaan Kesihatan', Total=119, Max=39, Min=0
16. Category='Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Respiratori', Total=59, Max=27, Min=0
17. Category='Diploma Lanjutan', Name='Diploma Lanjutan Rehabilitasi Neuro', Total=30, Max=25, Min=0
